Nombre,Web,Servicios,Contacto,Descripción corta
Tu nube Tech & Innovation,www.tunube.net,Desarrollo de videojuegos,hola@tunube.net,"Disfrutamos explorar, encontrar sentido y adoptar NUEVAS TECNOLOGÍAS. Con este conocimiento y el de nuestros clientes, analizamos, proponemos e implementamos. En tunube, INNOVAMOS."
"UNIAT, University of Advanced Technologies",https://www.uniat.edu.mx/,Educación y capacitación,informes@uniat.edu.mx,En UNIAT estamos comprometidos a ofrecer programas constantemente actualizados conforme a las necesidades e innovaciones que se dan dentro de las distintas industrias de Tecnología y Artes Digitales.
"Universidad AME, Facultad de Videojuegos y Medios Interactivos",http://xp-ame.com,Educación y capacitación,info@xpfacultad.com,
Universidad de Artes Digitales,http://www.uartesdigitales.edu.mx/,Educación y capacitación,informacion@uartesdigitales.edu.mx,
Universidad de Guadalajara,http://www.udg.mx/,Educación y capacitación,http://www.udg.mx/info/contacto,
Universidad de Morelia,https://www.udemorelia.edu.mx,Educación y capacitación,contacto@udemorelia.edu.mx,
Universidad Marista de Guadalajara,https://umg.edu.mx/portal/,Educación y capacitación,info@umg.edu.mx,
Universidad Panamericana,https://www.up.edu.mx,Educación y capacitación,contacto@up.edu.mx,
Universidad Tecnológica Americana,https://www.uteca.edu.mx/,Educación y capacitación,,
Ursus Game Studios,http://www.ursusgamestudios.com,Desarrollo de videojuegos,,
VFX PARTNERS,http://www.vfx.partners,Generación/diseño visual,welove@vfx.partners,VFX PARTNERS estudio mexicano de animación CGI que ofrece producción de trailers cinematicos para la industria de los videojuegos.
Videogames Academy,https://videogamesacademy.com/,Educación y capacitación,,
Villa Vainilla,www.villavanilla.com,Desarrollo de videojuegos,hola@villavanilla.com,
WASD Studio,http://wasdstudio.com,Desarrollo de software,,
WashaWasha Entertianment,www.washawasha.com,Desarrollo de videojuegos,info@washawasha.com,
Wayak Studio,https://www.facebook.com/wayakstudio,Desarrollo de videojuegos,wayaksoftware@outlook.com,
We The Force Studios,http://wetheforcestudios.com,Desarrollo de videojuegos,about@wetheforce.com,
WebCreek,https://webcreek.com,Desarrollo de software,Info@webcreek.com,
Xibalba Studios,www.xibalbastudios.com,Desarrollo de videojuegos,info@xibalbastudios.com,
Xólotl Creative Labs,http://xolotlcl.com,Desarrollo de videojuegos,,
Yakanda Studios,https://www.facebook.com/YakandaStudios,Desarrollo de videojuegos,contacto@yakanda.mx,
Yeltic Virtual Trainings,http://yeltic.com/,Desarrollo de videojuegos,hola@yeltic.com,
YinGam,http://yingammx.strikingly.com,Desarrollo de videojuegos,contacto@yingam.com,
